Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
38,relurelu,66.66666666666667,0.7392020800274626,0.1,10.0,l1,5000.0,53.63,0.7496303488661313,54.28,0.7491104018307648
9,relurelu,66.56666666666668,0.3565240098622671,0.001,10.0,,5000.0,70.41625,0.34744131798251404,81.18,0.24742316077241636
19,relurelurelu,66.26333333333334,0.32747188219799606,0.01,10.0,,5000.0,79.72375,0.2645277371627516,83.46000000000001,0.2508839864327001
45,relurelurelu,65.59,0.6122054514857008,0.001,10.0,l1,5000.0,82.44,0.5911622020893076,84.72,0.5874876629983635
40,relurelu,65.05666666666667,0.41675097978421716,0.01,50.0,l1,5000.0,54.16875,0.42828422273034567,55.52,0.4233873799548002
55,relu,63.95333333333334,0.6172656144225914,0.01,10.0,l2,5000.0,68.90625,0.6110142462452659,80.18,0.47540095160737755
56,relu,63.6,0.5676427423939767,0.1,10.0,l2,5000.0,72.63250000000001,0.5813644300460881,84.84,0.49980462788263463
65,relurelu,63.50666666666667,0.522621795110363,0.1,10.0,l2,5000.0,64.03875000000001,0.5251609802520949,74.2,0.5017835954764697
72,relurelurelu,61.870000000000005,0.36410358173729845,0.001,10.0,l2,5000.0,57.628750000000004,0.3792474446600746,63.660000000000004,0.30898204810125235
36,relurelu,57.983333333333334,0.7034785394892021,0.001,10.0,l1,5000.0,45.84625,0.7362387951195548,56.64,0.6093273935285101
10,relurelu,57.80666666666667,0.38218504606831316,0.01,10.0,,5000.0,44.38875,0.38219314777559893,52.38,0.3149465654782936
49,relurelurelu,55.82666666666667,0.40107673001896316,0.01,50.0,l1,5000.0,64.47125,0.39471358552644753,67.34,0.39071282964983356
34,relu,51.31333333333334,0.39823073910075757,0.01,100.0,l1,5000.0,52.75125,0.39646961807290776,57.18,0.39466611859277256
28,relu,46.220000000000006,0.4250550513706993,0.01,10.0,l1,5000.0,60.870000000000005,0.4112914457800009,66.44,0.3950681500759504
31,relu,43.50333333333334,0.3848421184142759,0.01,50.0,l1,5000.0,34.1525,0.3865096289337651,36.660000000000004,0.3856815820412132
