Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
30,relu,78.90666666666667,1.0965542308701501,0.001,50.0,l1,10000.0,98.3475,0.8797765544887773,99.46000000000001,0.8660555550412793
14,relurelu,78.55333333333334,0.4407081152752408,0.1,50.0,,10000.0,99.26125,0.012096252269095465,99.83,0.003325492248017753
26,relurelurelu,78.52333333333334,0.4712503365265464,0.1,100.0,,10000.0,99.855,0.004705647077226185,99.94,0.001162274553692011
58,relu,78.21666666666667,0.9671174118569915,0.01,50.0,l2,10000.0,98.09125,0.7092686488850971,99.47,0.6934380926221064
17,relurelu,77.85333333333334,0.44809747420867524,0.1,100.0,,10000.0,99.71125,0.006594221937945557,99.89,0.0023468118671888852
19,relurelurelu,77.38666666666667,0.29225541108597153,0.01,10.0,,10000.0,91.25625000000001,0.1773525481088618,96.93,0.07793890504443247
69,relurelu,76.89666666666668,0.7028402221644499,0.001,100.0,l2,10000.0,99.82875,0.27065520603902654,99.95,0.26795190521175055
10,relurelu,75.71333333333334,0.3527935816524129,0.01,10.0,,10000.0,95.74375,0.1074808918943514,98.7,0.037264900284060536
75,relurelurelu,75.41000000000001,0.6723696767175357,0.001,50.0,l2,10000.0,99.095,0.15288325034270192,99.72,0.14281002620724942
21,relurelurelu,75.02000000000001,0.5651296992921366,0.001,50.0,,10000.0,99.2375,0.014072152351196104,99.77,0.00430167690395634
2,relu,74.94,0.36240748912074555,0.1,10.0,,10000.0,88.96875,0.1794305348025305,96.24000000000001,0.07255964918561968
72,relurelurelu,74.87,0.4028440829778682,0.001,10.0,l2,10000.0,95.79,0.15636371559974865,98.77,0.07771219000429523
11,relurelu,74.23666666666666,0.40983004841130327,0.1,10.0,,10000.0,95.12,0.12997812791130406,98.51,0.04154167644705797
3,relu,74.16333333333334,0.4412980856515668,0.001,50.0,,10000.0,98.99375,0.016283438214756696,99.61,0.008571273741299177
12,relurelu,74.14333333333335,0.5417674267705938,0.001,50.0,,10000.0,98.65375,0.020084612771470053,99.59,0.0060392772404180015
0,relu,74.02000000000001,0.3584857435834894,0.001,10.0,,10000.0,88.88,0.19609019175560685,96.13,0.07926100061236098
22,relurelurelu,73.99666666666667,0.6016155415400742,0.01,50.0,,10000.0,99.25,0.014041769671121725,99.74000000000001,0.004704423720381523
9,relurelu,73.52666666666667,0.43052341723816,0.001,10.0,,10000.0,92.165,0.12601973446751447,97.51,0.05023042630923129
23,relurelurelu,73.13666666666667,0.617050728803592,0.1,50.0,,10000.0,99.6025,0.008310205250667021,99.86,0.0029292022633921008
54,relu,67.10333333333334,0.3512634094745049,0.001,10.0,l2,10000.0,54.63125,0.36958599215243715,54.78,0.3712585068598939
1,relu,66.67666666666668,0.33539656711370597,0.01,10.0,,10000.0,53.87125,0.34616364836418867,54.18,0.34533253522213364
74,relurelurelu,66.66666666666667,0.33683965707769187,0.1,10.0,l2,10000.0,53.835,0.3473978791501903,54.14,0.3471469172958397
65,relurelu,66.66666666666667,0.33685159909703166,0.1,10.0,l2,10000.0,53.835,0.3474211659254645,54.14,0.3471699747025744
40,relurelu,66.66666666666667,0.37120004215300706,0.01,50.0,l1,10000.0,53.835,0.38071558237451825,54.14,0.38043517428840823
43,relurelu,66.66666666666667,0.38150332687120964,0.01,100.0,l1,10000.0,53.835,0.39159848959155985,54.14,0.39135853342524823
46,relurelurelu,66.66666666666667,0.3386386733763184,0.01,10.0,l1,10000.0,53.835,0.34921745094218387,54.14,0.3489660005857021
35,relu,66.66666666666667,4.335606012920002,0.1,100.0,l1,10000.0,53.835,4.346143883504236,54.14,4.345893739804372
37,relurelu,66.66666666666667,0.3385860609329291,0.01,10.0,l1,10000.0,53.835,0.3491614122579655,54.14,0.34891004334085834
38,relurelu,66.66666666666667,0.7390301767518263,0.1,10.0,l1,10000.0,53.835,0.7495517352699466,54.14,0.7493016450156472
41,relurelu,66.66666666666667,2.4024811090550156,0.1,50.0,l1,10000.0,53.835,2.41302986689916,54.14,2.412779129650359
44,relurelu,66.66666666666667,4.600483755713196,0.1,100.0,l1,10000.0,53.835,4.611053788147038,54.14,4.610802545922449
32,relu,66.66666666666667,2.3364803970043546,0.1,50.0,l1,10000.0,53.835,2.347018577609416,54.14,2.3467681948781465
47,relurelurelu,66.66666666666667,0.7408581817863272,0.1,10.0,l1,10000.0,53.835,0.7514379193292179,54.14,0.7511864461547063
50,relurelurelu,66.66666666666667,2.4648551885630594,0.1,50.0,l1,10000.0,53.835,2.4753859307841597,54.14,2.4751356221950176
52,relurelurelu,66.66666666666667,0.38294164295620686,0.01,100.0,l1,10000.0,53.835,0.3932703148281319,54.14,0.3930248093139538
29,relu,66.66666666666667,0.7361173654669515,0.1,10.0,l1,10000.0,53.835,0.7466602918642524,54.14,0.7464098029206723
53,relurelurelu,66.66666666666667,4.837097824021827,0.1,100.0,l1,10000.0,53.835,4.847627052130904,54.14,4.847376779520412
45,relurelurelu,66.25,0.5252003443360689,0.001,10.0,l1,10000.0,72.86875,0.530105448005371,79.69,0.48555137673904364
56,relu,65.36666666666667,0.4013648557076435,0.1,10.0,l2,10000.0,66.075,0.40552070484720887,74.02,0.3806787541983881
49,relurelurelu,65.17,0.37470813209928217,0.01,50.0,l1,10000.0,72.92,0.35605550628589977,72.82000000000001,0.35574252172315485
31,relu,63.46666666666667,0.3316137387171503,0.01,50.0,l1,10000.0,73.05,0.312715731282348,72.88,0.31249039372840554
34,relu,61.88,0.35530841681622927,0.01,100.0,l1,10000.0,72.34,0.3436992329371471,72.38,0.3429343828751277
80,relurelurelu,60.733333333333334,0.6887537871148262,0.1,100.0,l2,10000.0,68.29125,0.6280686446157993,71.24,0.6072276661404695
28,relu,58.660000000000004,0.32229366845236046,0.01,10.0,l1,10000.0,70.68,0.302706958080143,70.89,0.30136717374058664
62,relu,57.873333333333335,0.4552728471973323,0.1,100.0,l2,10000.0,56.753750000000004,0.4493091932998864,63.93,0.4128586006559006
59,relu,54.71333333333334,0.4655687105227791,0.1,50.0,l2,10000.0,51.46625,0.48089068068949975,58.99,0.43720093950447075
